,Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Trump,Clinton,Other,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
10,Bloomberg/Selzer,2016-11-04,2016-11-06,2016-11-07T12:18:47Z,799.0,Likely Voters,Live Phone,43.0,46.0,5.0,6.0,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0,Nonpartisan,None,"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?",1
11,Bloomberg/Selzer,2016-11-04,2016-11-06,2016-11-07T12:18:47Z,,Likely Voters - Democrat,Live Phone,6.0,86.0,3.0,5.0,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0,Nonpartisan,None,"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?",1
12,Bloomberg/Selzer,2016-11-04,2016-11-06,2016-11-07T12:18:47Z,,Likely Voters - Republican,Live Phone,85.0,5.0,6.0,4.0,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0,Nonpartisan,None,"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?",1
13,Bloomberg/Selzer,2016-11-04,2016-11-06,2016-11-07T12:18:47Z,,Likely Voters - independent,Live Phone,44.0,38.0,10.0,8.0,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0,Nonpartisan,None,"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?",1
14,Bloomberg/Selzer,2016-11-04,2016-11-06,2016-11-07T12:18:47Z,799.0,Likely Voters,Live Phone,41.0,44.0,2.0,8.0,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0,Nonpartisan,None,"If the general election were held today, and the candidates were Hillary Clinton for the Democrats, Donald Trump for the Republicans, Gary Johnson for the Libertarian Party, and Jill Stein for the Green Party, for whom would you vote?",2
15,ABC/Post,2016-11-03,2016-11-06,2016-11-07T20:19:38Z,2220.0,Likely Voters,Live Phone,43.0,47.0,4.0,1.0,http://elections.huffingtonpost.com/pollster/polls/abc-post-26799,https://www.washingtonpost.com/news/the-fix/wp/2016/11/07/post-abc-tracking-poll-clinton-47-trump-43-on-election-eve/,Nonpartisan,None,,1
16,Monmouth University,2016-11-03,2016-11-06,2016-11-07T16:02:39Z,748.0,Likely Voters,Live Phone,44.0,50.0,3.0,1.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-26790,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_110716/,Nonpartisan,None,"If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?",1
17,FOX,2016-11-03,2016-11-06,2016-11-07T15:12:41Z,1295.0,Likely Voters,Live Phone,44.0,48.0,4.0,1.0,http://elections.huffingtonpost.com/pollster/polls/fox-26784,http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html,Nonpartisan,None,,1
18,FOX,2016-11-03,2016-11-06,2016-11-07T15:12:41Z,,Likely Voters - Democrat,Live Phone,4.0,91.0,3.0,0.0,http://elections.huffingtonpost.com/pollster/polls/fox-26784,http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html,Nonpartisan,None,,1
19,FOX,2016-11-03,2016-11-06,2016-11-07T15:12:41Z,,Likely Voters - Republican,Live Phone,86.0,9.0,3.0,1.0,http://elections.huffingtonpost.com/pollster/polls/fox-26784,http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html,Nonpartisan,None,,1
20,FOX,2016-11-03,2016-11-06,2016-11-07T15:12:41Z,,Likely Voters - independent,Live Phone,42.0,36.0,9.0,5.0,http://elections.huffingtonpost.com/pollster/polls/fox-26784,http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html,Nonpartisan,None,,1
21,Ipsos/Reuters,2016-11-02,2016-11-06,2016-11-08T12:06:14Z,2195.0,Likely Voters,Internet,39.0,44.0,9.0,8.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810,http://www.ipsos-na.com/download/pr.aspx?id=16119,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1
22,Ipsos/Reuters,2016-11-02,2016-11-06,2016-11-08T12:06:14Z,,Likely Voters - Democrat,Internet,7.0,84.0,5.0,5.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810,http://www.ipsos-na.com/download/pr.aspx?id=16119,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1
23,Ipsos/Reuters,2016-11-02,2016-11-06,2016-11-08T12:06:14Z,,Likely Voters - Republican,Internet,81.0,6.0,7.0,7.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810,http://www.ipsos-na.com/download/pr.aspx?id=16119,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1
24,Ipsos/Reuters,2016-11-02,2016-11-06,2016-11-08T12:06:14Z,,Likely Voters - independent,Internet,24.0,29.0,28.0,19.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810,http://www.ipsos-na.com/download/pr.aspx?id=16119,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1
25,Ipsos/Reuters,2016-11-02,2016-11-06,2016-11-08T12:06:14Z,2195.0,Likely Voters,Internet,39.0,42.0,6.0,7.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810,http://www.ipsos-na.com/download/pr.aspx?id=16119,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2
26,Ipsos/Reuters,2016-11-02,2016-11-06,2016-11-08T12:06:14Z,,Likely Voters - Democrat,Internet,7.0,81.0,3.0,4.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810,http://www.ipsos-na.com/download/pr.aspx?id=16119,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2
27,Ipsos/Reuters,2016-11-02,2016-11-06,2016-11-08T12:06:14Z,,Likely Voters - Republican,Internet,81.0,6.0,3.0,5.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810,http://www.ipsos-na.com/download/pr.aspx?id=16119,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2
28,Ipsos/Reuters,2016-11-02,2016-11-06,2016-11-08T12:06:14Z,,Likely Voters - independent,Internet,24.0,28.0,16.0,17.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810,http://www.ipsos-na.com/download/pr.aspx?id=16119,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2
29,Rasmussen,2016-11-02,2016-11-06,2016-11-07T13:46:46Z,1500.0,Likely Voters,IVR/Online,43.0,45.0,5.0,4.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-26781,http://www.rasmussenreports.com/platinum/political_tracking_crosstabs/november_2016/crosstabs_election_2016_white_house_watch_november_2_3_6_2016,Nonpartisan,None,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1
30,CBS/Times,2016-11-02,2016-11-06,2016-11-07T13:16:02Z,1426.0,Likely Voters,Live Phone,43.0,47.0,5.0,5.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778,http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/,Nonpartisan,None,,1
31,CBS/Times,2016-11-02,2016-11-06,2016-11-07T13:16:02Z,,Likely Voters - Democrat,Live Phone,7.0,88.0,1.0,4.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778,http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/,Nonpartisan,None,,1
32,CBS/Times,2016-11-02,2016-11-06,2016-11-07T13:16:02Z,,Likely Voters - Republican,Live Phone,86.0,6.0,5.0,3.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778,http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/,Nonpartisan,None,,1
33,CBS/Times,2016-11-02,2016-11-06,2016-11-07T13:16:02Z,,Likely Voters - independent,Live Phone,42.0,41.0,8.0,9.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778,http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/,Nonpartisan,None,,1
34,CBS/Times,2016-11-02,2016-11-06,2016-11-07T13:16:02Z,1426.0,Likely Voters,Live Phone,41.0,45.0,4.0,5.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778,http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/,Nonpartisan,None,,2
35,CBS/Times,2016-11-02,2016-11-06,2016-11-07T13:16:02Z,,Likely Voters - Democrat,Live Phone,6.0,85.0,3.0,4.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778,http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/,Nonpartisan,None,,2
36,CBS/Times,2016-11-02,2016-11-06,2016-11-07T13:16:02Z,,Likely Voters - Republican,Live Phone,84.0,6.0,3.0,2.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778,http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/,Nonpartisan,None,,2
37,CBS/Times,2016-11-02,2016-11-06,2016-11-07T13:16:02Z,,Likely Voters - independent,Live Phone,40.0,38.0,7.0,8.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778,http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/,Nonpartisan,None,,2
38,UPI/CVOTER,2016-10-31,2016-11-06,2016-11-07T15:40:06Z,1625.0,Likely Voters,Internet,46.0,49.0,5.0,,http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26785,https://www.documentcloud.org/documents/3214996-UPI-CVoter-7-Nov-2016.html,Nonpartisan,None,,1
39,NBC/SurveyMonkey,2016-10-31,2016-11-06,2016-11-07T12:04:56Z,70194.0,Likely Voters,Internet,44.0,51.0,,5.0,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26770,https://www.scribd.com/document/330243723/NBC-News-SurveyMonkey-Toplines-and-Methodology-1031-11-6?secret_password=RZmAhM5A4ukrIpXPn0p8,Nonpartisan,None,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?",1
40,NBC/SurveyMonkey,2016-10-31,2016-11-06,2016-11-07T12:04:56Z,70194.0,Likely Voters,Internet,41.0,47.0,3.0,2.0,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26770,https://www.scribd.com/document/330243723/NBC-News-SurveyMonkey-Toplines-and-Methodology-1031-11-6?secret_password=RZmAhM5A4ukrIpXPn0p8,Nonpartisan,None,If the 2016 presidential election were being held today among the following candidates for whom would you vote?,2
41,Politico/Morning Consult,2016-11-04,2016-11-05,2016-11-06T12:47:24Z,1482.0,Likely Voters,Internet,42.0,45.0,4.0,0.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751,https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/,Nonpartisan,None,,1
42,Politico/Morning Consult,2016-11-04,2016-11-05,2016-11-06T12:47:24Z,571.0,Likely Voters - Democrat,Internet,8.0,87.0,2.0,0.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751,https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/,Nonpartisan,None,,1
43,Politico/Morning Consult,2016-11-04,2016-11-05,2016-11-06T12:47:24Z,495.0,Likely Voters - Republican,Internet,85.0,9.0,1.0,0.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751,https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/,Nonpartisan,None,,1
44,Politico/Morning Consult,2016-11-04,2016-11-05,2016-11-06T12:47:24Z,416.0,Likely Voters - independent,Internet,39.0,32.0,10.0,1.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751,https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/,Nonpartisan,None,,1
45,NBC/WSJ,2016-11-03,2016-11-05,2016-11-06T14:21:45Z,1282.0,Likely Voters,Live Phone,40.0,44.0,5.0,5.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-26753,https://www.scribd.com/document/330193949/161256-NBCWSJ-November-Poll-final,Nonpartisan,None,"If the next election for president were held today, with Donald Trump as the Republican candidate, Hillary Clinton as the Democratic candidate, Gary Johnson the Libertarian candidate, and Jill Stein the Green Party candidate for whom would you vote?",1
46,Franklin Pierce/RKM/Boston Herald,2016-11-01,2016-11-05,2016-11-07T12:53:13Z,1009.0,Likely Voters,Live Phone,44.0,48.0,3.0,1.0,http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775,http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win,Nonpartisan,None,,1
47,Franklin Pierce/RKM/Boston Herald,2016-11-01,2016-11-05,2016-11-07T12:53:13Z,474.0,Likely Voters - Democrat,Live Phone,12.0,82.0,4.0,1.0,http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775,http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win,Nonpartisan,None,,1
48,Franklin Pierce/RKM/Boston Herald,2016-11-01,2016-11-05,2016-11-07T12:53:13Z,418.0,Likely Voters - Republican,Live Phone,79.0,14.0,1.0,1.0,http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775,http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win,Nonpartisan,None,,1
49,Franklin Pierce/RKM/Boston Herald,2016-11-01,2016-11-05,2016-11-07T12:53:13Z,106.0,Likely Voters - independent,Live Phone,54.0,29.0,4.0,3.0,http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775,http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win,Nonpartisan,None,,1
50,Angus Reid/MARU-Matchbox,2016-11-01,2016-11-04,2016-11-07T20:44:02Z,1113.0,Likely Voters,Internet,44.0,48.0,2.0,,http://elections.huffingtonpost.com/pollster/polls/angus-reid-maru-matchbox-26804,http://angusreid.org/wp-content/uploads/2016/11/2016.11.04-US-Horserace.pdf,Nonpartisan,None,Which one of the following candidates are you most likely to support on Election Day?,1
51,McClatchy/Marist,2016-11-01,2016-11-03,2016-11-05T15:16:08Z,940.0,Likely Voters,Live Phone,44.0,46.0,8.0,2.0,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734,http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29,Nonpartisan,None,"If next  week's (November's) presidential election were held today, whom would you support if the candidates are:",1
52,McClatchy/Marist,2016-11-01,2016-11-03,2016-11-05T15:16:08Z,,Likely Voters - Democrat,Live Phone,7.0,90.0,3.0,0.0,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734,http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29,Nonpartisan,None,"If next  week's (November's) presidential election were held today, whom would you support if the candidates are:",1
53,McClatchy/Marist,2016-11-01,2016-11-03,2016-11-05T15:16:08Z,,Likely Voters - Republican,Live Phone,92.0,3.0,3.0,1.0,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734,http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29,Nonpartisan,None,"If next  week's (November's) presidential election were held today, whom would you support if the candidates are:",1
54,McClatchy/Marist,2016-11-01,2016-11-03,2016-11-05T15:16:08Z,,Likely Voters - independent,Live Phone,41.0,38.0,17.0,4.0,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734,http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29,Nonpartisan,None,"If next  week's (November's) presidential election were held today, whom would you support if the candidates are:",1
55,McClatchy/Marist,2016-11-01,2016-11-03,2016-11-05T15:16:08Z,940.0,Likely Voters,Live Phone,43.0,44.0,5.0,2.0,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734,http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29,Nonpartisan,None,"If November's presidential election were held today, whom would you support if the candidates are:",2
56,McClatchy/Marist,2016-11-01,2016-11-03,2016-11-05T15:16:08Z,,Likely Voters - Democrat,Live Phone,7.0,89.0,1.0,0.0,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734,http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29,Nonpartisan,None,"If November's presidential election were held today, whom would you support if the candidates are:",2
57,McClatchy/Marist,2016-11-01,2016-11-03,2016-11-05T15:16:08Z,,Likely Voters - Republican,Live Phone,92.0,2.0,1.0,1.0,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734,http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29,Nonpartisan,None,"If November's presidential election were held today, whom would you support if the candidates are:",2
58,McClatchy/Marist,2016-11-01,2016-11-03,2016-11-05T15:16:08Z,,Likely Voters - independent,Live Phone,39.0,33.0,11.0,5.0,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734,http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29,Nonpartisan,None,"If November's presidential election were held today, whom would you support if the candidates are:",2
59,Lucid/The Times-Picayune,2016-11-01,2016-11-03,2016-11-04T18:56:13Z,873.0,Likely Voters,Internet,39.0,44.0,2.0,10.0,http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26717,https://luc.id/2016-presidential-tracker/,Nonpartisan,None,,1
60,IBD/TIPP,2016-10-30,2016-11-03,2016-11-04T11:48:24Z,898.0,Likely Voters,Live Phone,44.0,44.0,4.0,5.0,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26691,http://www.investors.com/politics/ibd-tipp-presidential-election-poll/,Nonpartisan,None,,1
61,ABC/Post,2016-10-30,2016-11-02,2016-11-04T11:45:19Z,1151.0,Likely Voters,Live Phone,44.0,47.0,4.0,2.0,http://elections.huffingtonpost.com/pollster/polls/abc-post-26690,http://abcnews.go.com/Politics/hint-momentum-clinton-issues-defining-factor-poll/story?id=43281152,Nonpartisan,None,,1
62,YouGov/Economist,2016-10-30,2016-11-01,2016-11-02T14:26:40Z,1233.0,Likely Voters,Internet,43.0,46.0,4.0,4.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26618,https://today.yougov.com/news/2016/11/02/yougoveconomist-poll-october-30-november-1-2016/,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1
63,YouGov/Economist,2016-10-30,2016-11-01,2016-11-02T14:26:40Z,523.0,Likely Voters - Democrat,Internet,5.0,90.0,2.0,3.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26618,https://today.yougov.com/news/2016/11/02/yougoveconomist-poll-october-30-november-1-2016/,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1
64,YouGov/Economist,2016-10-30,2016-11-01,2016-11-02T14:26:40Z,268.0,Likely Voters - Republican,Internet,89.0,5.0,3.0,1.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26618,https://today.yougov.com/news/2016/11/02/yougoveconomist-poll-october-30-november-1-2016/,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1
65,YouGov/Economist,2016-10-30,2016-11-01,2016-11-02T14:26:40Z,442.0,Likely Voters - independent,Internet,51.0,28.0,5.0,7.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26618,https://today.yougov.com/news/2016/11/02/yougoveconomist-poll-october-30-november-1-2016/,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1
66,Rasmussen,2016-10-30,2016-11-01,2016-11-02T12:36:26Z,1500.0,Likely Voters,IVR/Online,44.0,44.0,4.0,4.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-26615,http://www.rasmussenreports.com/platinum/political_tracking_crosstabs/october_2016/crosstabs_election_2016_white_house_watch_october_30_31_november_1_2016,Nonpartisan,None,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1
67,CBS/Times,2016-10-28,2016-11-01,2016-11-03T12:15:46Z,1333.0,Likely Voters,Live Phone,44.0,47.0,5.0,5.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26647,https://www.scribd.com/document/329861949/CBS-News-New-York-Times-Poll-Nov-3-2016#from_embed,Nonpartisan,None,,1
68,CBS/Times,2016-10-28,2016-11-01,2016-11-03T12:15:46Z,,Likely Voters - Democrat,Live Phone,8.0,87.0,1.0,3.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26647,https://www.scribd.com/document/329861949/CBS-News-New-York-Times-Poll-Nov-3-2016#from_embed,Nonpartisan,None,,1
69,CBS/Times,2016-10-28,2016-11-01,2016-11-03T12:15:46Z,,Likely Voters - Republican,Live Phone,83.0,8.0,5.0,5.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26647,https://www.scribd.com/document/329861949/CBS-News-New-York-Times-Poll-Nov-3-2016#from_embed,Nonpartisan,None,,1
70,CBS/Times,2016-10-28,2016-11-01,2016-11-03T12:15:46Z,,Likely Voters - independent,Live Phone,46.0,39.0,9.0,6.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26647,https://www.scribd.com/document/329861949/CBS-News-New-York-Times-Poll-Nov-3-2016#from_embed,Nonpartisan,None,,1
71,CBS/Times,2016-10-28,2016-11-01,2016-11-03T12:15:46Z,,Likely Voters,Live Phone,42.0,45.0,5.0,4.0,http://elections.huffingtonpost.com/pollster/polls/cbs-times-26647,https://www.scribd.com/document/329861949/CBS-News-New-York-Times-Poll-Nov-3-2016#from_embed,Nonpartisan,None,,2
